1571727600	84.78.122.69	0	67
1571727660	166.178.225.253	1	35
1571727720	54.101.167.209	0	35
1571727780	235.104.155.218	1	52
1571727840	66.91.74.192	1	27
1571727900	122.99.249.46	0	48
1571727960	48.151.100.97	1	64
1571728020	138.142.17.124	1	77
1571728080	97.42.113.3	0	83
1571728140	214.114.101.71	0	52
1571728200	221.198.15.207	0	37
1571728260	64.141.199.183	0	10
1571728320	96.200.91.83	0	98
1571728380	119.123.123.185	1	47
1571728440	157.199.22.24	0	51
1571728500	21.255.19.219	1	95
1571728560	204.86.201.207	1	33
1571728620	224.6.210.26	0	81
1571728680	180.148.2.155	0	79
1571728740	72.147.76.3	1	86
1571728800	111.2.117.182	0	82
1571728860	27.184.253.201	0	45
1571728920	171.195.95.206	0	53
1571728980	6.112.8.181	1	85
1571729040	102.93.159.34	1	45
1571729100	163.245.115.26	0	16
1571729160	246.112.234.23	1	65
1571729220	165.220.66.250	0	20
1571729280	7.171.205.113	0	62
1571729340	87.232.253.152	0	33
1571729400	216.64.211.194	0	74
1571729460	161.26.2.124	0	34
1571729520	51.230.35.93	0	71
1571729580	146.69.22.239	0	42
1571729640	235.248.62.39	1	5
1571729700	132.109.18.90	0	73
1571729760	57.137.225.71	1	15
1571729820	175.22.42.134	0	4
1571729880	141.108.172.116	0	58
1571729940	30.196.36.237	0	38
1571730000	17.228.181.196	1	31
1571730060	216.46.18.36	0	93
1571730120	17.79.150.20	1	59
1571730180	85.41.130.239	1	20
1571730240	109.233.148.130	0	13
1571730300	197.172.152.16	1	69
1571730360	75.42.105.68	1	69
1571730420	123.184.27.106	1	83
1571730480	155.63.85.135	0	2
1571730540	59.164.106.8	0	2
1571730600	55.238.119.222	1	81
1571730660	226.229.91.179	0	32
1571730720	129.193.247.67	1	85
1571730780	181.159.200.58	1	47
1571730840	138.189.44.226	0	90
1571730900	196.187.253.186	0	78
1571730960	118.126.141.93	0	18
1571731020	22.90.47.106	0	63
1571731080	108.86.110.206	1	60
1571731140	86.244.177.155	1	65
1571731200	103.80.63.119	0	99
1571731260	159.187.107.118	0	87
1571731320	254.220.59.39	1	61
1571731380	88.129.83.146	1	90
1571731440	21.140.94.169	0	67
1571731500	254.33.190.197	1	20
1571731560	107.63.61.64	1	14
1571731620	227.153.109.221	0	57
1571731680	113.47.121.175	1	42
1571731740	247.227.82.206	0	5
1571731800	157.20.217.9	0	99
1571731860	244.64.68.212	1	61
1571731920	17.149.103.248	0	77
1571731980	13.11.161.113	1	81
1571732040	118.171.163.202	0	38
1571732100	124.221.114.127	0	5
1571732160	133.254.40.23	0	16
1571732220	244.242.96.223	1	69
1571732280	59.142.132.141	1	2
1571732340	242.209.232.147	0	81
1571732400	255.187.186.65	0	93
1571732460	18.213.136.140	1	13
1571732520	122.148.136.167	0	11
1571732580	135.160.109.140	1	30
1571732640	122.158.171.233	0	65
1571732700	152.22.242.11	0	99
1571732760	202.20.80.16	0	66
1571732820	124.222.140.90	1	39
1571732880	96.53.191.254	1	89
1571732940	233.207.26.15	1	34
1571733000	222.155.147.135	0	30
1571733060	204.148.202.210	1	21
1571733120	196.44.192.44	0	28
1571733180	143.107.110.239	1	15
1571733240	76.117.143.111	1	50
